days,valus,params,countrycode,SRC
7.75862,13.6157,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
8.03448,15.3721,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
8.03448,17.9981,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
8.31034,18.4415,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
8.51724,21.0718,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
8.7931,21.9529,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
8.86207,22.392,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
9,21.0818,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
9.06897,19.7703,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
9.2069,16.7095,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
9.34483,14.524,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
9.34483,11.8981,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
9.55172,10.5894,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
9.55172,9.27637,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
9.75862,7.96769,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
9.75862,6.21702,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
9.96552,4.47067,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
10.0345,4.03444,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
10.2414,1.41276,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
10.4483,-0.33359,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
10.6552,-2.07994,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
10.7241,-4.26683,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
11.069,-4.69731,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
11.2759,-2.50467,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
11.6207,-2.49748,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
12.0345,-1.61353,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
12.3103,-1.60778,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
12.7931,-1.59772,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
13.2759,-2.02532,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
13.6897,-2.0167,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
14.1724,-2.88197,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
14.7241,-4.18347,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
14.931,-5.05449,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
15.2069,-5.92407,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
